file,rows_in,rows_out,bad_tradeDate_rows,duplicate_tradeDate_rows,placeholder_cells,duplicate_column_groups,bad_close_rows,status
002439.XSHE.csv,735,735,0,0,0,1,0,ok
002444.XSHE.csv,735,735,0,0,0,1,0,ok
002461.XSHE.csv,735,735,0,0,0,1,0,ok
002465.XSHE.csv,735,735,0,0,0,1,0,ok
002472.XSHE.csv,735,735,0,0,0,1,0,ok
002500.XSHE.csv,735,735,0,0,0,1,0,ok
002507.XSHE.csv,735,735,0,0,0,1,0,ok
002508.XSHE.csv,735,735,0,0,0,1,0,ok
002517.XSHE.csv,735,735,0,0,0,1,0,ok
002532.XSHE.csv,735,735,0,0,0,1,0,ok
002558.XSHE.csv,735,735,0,0,0,1,0,ok
002563.XSHE.csv,735,735,0,0,0,1,0,ok
002568.XSHE.csv,735,735,0,0,0,1,0,ok
002572.XSHE.csv,735,735,0,0,0,1,0,ok
002595.XSHE.csv,735,735,0,0,0,1,0,ok
002603.XSHE.csv,735,735,0,0,0,1,0,ok
002607.XSHE.csv,735,735,0,0,0,1,0,ok
002608.XSHE.csv,735,735,0,0,0,1,0,ok
002624.XSHE.csv,735,735,0,0,0,1,0,ok
002653.XSHE.csv,735,735,0,0,0,1,0,ok
002670.XSHE.csv,735,735,0,0,0,1,0,ok
002673.XSHE.csv,735,735,0,0,0,1,0,ok
002683.XSHE.csv,735,735,0,0,0,1,0,ok
002738.XSHE.csv,735,735,0,0,0,1,0,ok
002739.XSHE.csv,735,735,0,0,0,1,0,ok
002756.XSHE.csv,735,735,0,0,0,1,0,ok
002773.XSHE.csv,735,735,0,0,0,1,0,ok
002797.XSHE.csv,735,735,0,0,0,1,0,ok
002821.XSHE.csv,735,735,0,0,0,1,0,ok
002831.XSHE.csv,735,735,0,0,0,1,0,ok
002837.XSHE.csv,735,735,0,0,0,1,0,ok
002841.XSHE.csv,735,735,0,0,0,1,0,ok
002850.XSHE.csv,735,735,0,0,0,1,0,ok
002851.XSHE.csv,735,735,0,0,0,1,0,ok
002926.XSHE.csv,735,735,0,0,0,1,0,ok
002939.XSHE.csv,735,735,0,0,0,1,0,ok
002945.XSHE.csv,735,735,0,0,0,1,0,ok
002958.XSHE.csv,735,735,0,0,0,1,0,ok
002966.XSHE.csv,735,735,0,0,0,1,0,ok
002984.XSHE.csv,735,735,0,0,0,1,0,ok
003022.XSHE.csv,735,735,0,0,0,1,0,ok
003031.XSHE.csv,735,735,0,0,0,1,0,ok
003035.XSHE.csv,735,735,0,0,0,1,0,ok
300001.XSHE.csv,735,735,0,0,0,1,0,ok
300002.XSHE.csv,735,735,0,0,0,1,0,ok
300003.XSHE.csv,735,735,0,0,0,1,0,ok
300012.XSHE.csv,735,735,0,0,0,1,0,ok
300017.XSHE.csv,735,735,0,0,0,1,0,ok
300024.XSHE.csv,735,735,0,0,0,1,0,ok
300037.XSHE.csv,735,735,0,0,0,1,0,ok
300054.XSHE.csv,735,735,0,0,0,1,0,ok
300058.XSHE.csv,735,735,0,0,0,1,0,ok
300070.XSHE.csv,735,735,0,0,0,1,0,ok
300073.XSHE.csv,735,735,0,0,0,1,0,ok
300115.XSHE.csv,735,735,0,0,0,1,0,ok
300136.XSHE.csv,735,735,0,0,0,1,0,ok
300140.XSHE.csv,735,735,0,0,0,1,0,ok
300142.XSHE.csv,735,735,0,0,0,1,0,ok
300144.XSHE.csv,735,735,0,0,0,1,0,ok
300146.XSHE.csv,735,735,0,0,0,1,0,ok
300207.XSHE.csv,735,735,0,0,0,1,0,ok
300212.XSHE.csv,735,735,0,0,0,1,0,ok
300223.XSHE.csv,735,735,0,0,0,1,0,ok
300251.XSHE.csv,735,735,0,0,0,1,0,ok
300285.XSHE.csv,735,735,0,0,0,1,0,ok
300339.XSHE.csv,735,735,0,0,0,1,0,ok
300346.XSHE.csv,735,735,0,0,0,1,0,ok
300373.XSHE.csv,735,735,0,0,0,1,0,ok
300383.XSHE.csv,735,735,0,0,0,1,0,ok
300390.XSHE.csv,735,735,0,0,0,1,0,ok
300395.XSHE.csv,735,735,0,0,0,1,0,ok
300450.XSHE.csv,735,735,0,0,0,1,0,ok
300454.XSHE.csv,735,735,0,0,0,1,0,ok
300458.XSHE.csv,735,735,0,0,0,1,0,ok
300474.XSHE.csv,735,735,0,0,0,1,0,ok
300476.XSHE.csv,735,735,0,0,0,1,0,ok
300487.XSHE.csv,735,735,0,0,0,1,0,ok
300496.XSHE.csv,735,735,0,0,0,1,0,ok
300529.XSHE.csv,735,735,0,0,0,1,0,ok
300558.XSHE.csv,735,735,0,0,0,1,0,ok
