tradeDate,mvel1,beta,betasq,chmom,dolvol,idiovol,indmom,mom1m,mom6m,mom12m,mom36m,pricedelay,turn,absacc,acc,age,agr,bm,bm_ia,cashdebt,cashpr,cfp,cfp_ia,chatoia,chcsho,chempia,chinv,chpmia,convind,currat,depr,divi,divo,dy,egr,ep,gma,grcapx,grltnoa,herf,hire,invest,lev,lgr,mve_ia,operprof,orgcap,pchcapx_ia,pchcurrat,pchdepr,pchgm_pchsale,pchquick,pchsale_pchinvt,pchsale_pchrect,pchsale_pchxsga,pchsaleinv,pctacc,ps,quick,rd,rd_mve,rd_sale,realestate,roic,salecash,saleinv,salerec,secured,securedind,sgr,sin,sp,tang,tb,aeavol,cash,chtx,cinvest,ear,nincr,roaq,roavol,roeq,rsup,stdacc,stdcf,ms,baspread,ill,maxret,retvol,std_dolvol,std_turn,zerotrade,sic2,close
2006-08-31,1405616.5663,2.2839142338,5.2162642275,-0.733376777,15.74378022,0.0816322702,-0.0373701529999999,-0.239617735,-0.012341208,0.4660560249,0.4167938079,-0.2200432169999999,4.601672837,0.3923928665,-0.392392867,4.0,-0.44833653,0.1526978522,-0.3953682189999999,1.2740842698,5.262590268399999,0.109993447,-0.016073852,-0.243943593,0.0383827657,-0.826268096,0.0,0.1086714436,0.0,1.7711775095,1.1003342074,0.0,0.0,0.0,0.4477070443,0.0283640918,1.2845472273,1.24165788,0.5297968771,0.1558479021,-0.4375,0.5428745040999999,0.0934259611999999,0.4493665585,643.87158867,0.5219091986,0.0118298932,-1.48704872,-0.102716592,-0.240454531,-0.330449714,-0.102716592,,,0.3716826471,,-2.877911819,4.0,1.7711775095,0.0,0.0238834198,0.0518723624,0.0075998441,0.0376250615,3.2141046661000003,,,,0.0,0.3476397986999999,0.0,0.4604266825,0.724693842,-2.703357132,2.5581243533,0.5834030289,-0.046571554,0.0253829158999999,0.2102377946,3.0,0.1106279224,0.0853920909999999,0.2138611534,0.0331423956,0.0523841746999999,0.1152227821,7.0,0.0387010804,5.392841e-10,0.0625327676999999,0.0524564042999999,0.8218314901,48.744802146000005,3.1755375e-09,78.0,0.285857143
2006-09-29,1362721.3912,2.1084051343,4.4453722106,-0.49677018,16.085854862,0.0824417817,-0.090137883,-0.032382797,-0.2282729939999999,-0.040352446,0.2937292671,-0.264954761,4.9867750487,0.3923928665,-0.392392867,4.0,-0.44833653,0.1526978522,-0.3953682189999999,1.2740842698,5.262590268399999,0.109993447,-0.016073852,-0.243943593,0.0383827657,-0.826268096,0.0,0.1086714436,0.0,1.7711775095,1.1003342074,0.0,0.0,0.0,0.4477070443,0.0283640918,1.2845472273,1.24165788,0.5297968771,0.1558479021,-0.439631957,0.5428745040999999,0.0934259611999999,0.4493665585,643.87158867,0.5219091986,0.0118298932,-1.48704872,-0.102716592,-0.240454531,-0.330449714,-0.102716592,,,0.3716826471,,-2.877911819,4.0,1.7711775095,0.0,0.0238834198,0.0518723624,0.0075998441,0.0376250615,3.2141046661000003,,,,0.0,0.3476397986999999,0.0,0.4604266825,0.724693842,-2.703357132,2.5581243533,0.5834030289,-0.056367583,0.0253829158999999,0.2102377946,3.0,0.1350324752999999,0.0853920909999999,0.2138611534,0.0331423956,0.0523841746999999,0.1152227821,7.0,0.0305064429999999,5.226022e-10,0.0377065875,0.0177171727,0.3270926775,6.6051324489,4.3314436e-09,78.0,0.325428571
2006-10-31,1552548.1668,2.0654748704,4.266186440199999,-0.3296407739999999,15.604445582,0.0806801166,-0.093755672,0.1378621459,-0.309417016,-0.229703705,0.5488676286999999,-0.357626745,4.860971720899999,0.3923928665,-0.392392867,4.0,-0.44833653,0.1526978522,-0.433725033,1.2740842698,5.262590268399999,0.109993447,-0.016073852,-0.243943593,0.0383827657,-0.826268096,0.0,0.1086714436,0.0,1.7711775095,1.1003342074,0.0,0.0,0.0,0.4477070443,0.0283640918,1.2845472273,1.24165788,0.5297968771,0.1558479021,-0.4431818179999999,0.5428745040999999,0.0934259611999999,0.4493665585,643.87158867,0.5219091986,0.0118298932,-1.48704872,-0.102716592,-0.240454531,-0.330449714,-0.102716592,,,0.3716826471,,-2.877911819,4.0,1.7711775095,0.0,0.0238834198,0.0518723624,0.0075998441,0.0376250615,3.2141046661000003,,,,0.0,0.3476397986999999,0.0,0.4604266825,0.724693842,-2.776665454,2.3127452158,0.5796358268999999,0.0109865842,0.0367561637,0.0184055706,0.0,0.0120763078,0.0810697679,0.0194650213,0.0445429067,0.0521339934,0.1119044935999999,7.0,0.0304187349,6.230657e-10,0.0548011214,0.0203962679,0.4716727192,9.1527595839,6.5588165e-09,78.0,0.395142857
2006-11-30,1885139.6296,1.9342693705,3.7413979975,-0.189103744,15.458755671,0.0787391587,-0.040643215,0.2142229527,-0.231443951,-0.137447903,-0.078184978,-0.067722524,4.4374248334,0.3923928665,-0.392392867,4.0,-0.44833653,0.1526978522,-0.437840025,1.2740842698,5.262590268399999,0.109993447,-0.016073852,-0.243943593,0.0383827657,-0.826268096,0.0,0.1086714436,0.0,1.7711775095,1.1003342074,0.0,0.0,0.0,0.4477070443,0.0283640918,1.2845472273,1.24165788,0.5297968771,0.1558479021,-0.44,0.5428745040999999,0.0934259611999999,0.4493665585,643.87158867,0.5219091986,0.0118298932,-1.48704872,-0.102716592,-0.240454531,-0.330449714,-0.102716592,,,0.3716826471,,-2.877911819,4.0,1.7711775095,0.0,0.0238834198,0.0518723624,0.0075998441,0.0376250615,3.2141046661000003,,,,0.0,0.3476397986999999,0.0,0.4604266825,0.724693842,-2.844531397,2.3127452158,0.5796358268999999,0.0109865842,0.0367561637,0.0184055706,0.0,0.0120763078,0.0810697679,0.0194650213,0.0445429067,0.0521339934,0.1119044935999999,7.0,0.0303237641,4.600288e-10,0.1858752519,0.0418042987,0.7956294288,35.972146688,3.5162234e-09,78.0,0.419714286
2006-12-29,2004479.567,1.9970782585,3.9883215707,0.0519748559,16.182159271,0.0807599604999999,-0.0004711999999999,0.0585683621,-0.001083446,0.0043572581,0.124081668,-0.215971059,3.9819176432,0.3923928665,-0.392392867,4.0,-0.44833653,0.1526978522,-0.4139826689999999,1.2740842698,5.262590268399999,0.109993447,-0.016073852,-0.243943593,0.0383827657,-0.826268096,0.0,0.1086714436,0.0,1.7711775095,1.1003342074,0.0,0.0,0.0,0.4477070443,0.0283640918,1.2845472273,1.24165788,0.5297968771,0.1558479021,-0.4431818179999999,0.5428745040999999,0.0934259611999999,0.4493665585,643.87158867,0.5219091986,0.0118298932,-1.48704872,-0.102716592,-0.240454531,-0.330449714,-0.102716592,,,0.3716826471,,-2.877911819,4.0,1.7711775095,0.0,0.0238834198,0.0518723624,0.0075998441,0.0376250615,3.2141046661000003,,,,0.0,0.3476397986999999,0.0,0.4604266825,0.724693842,-2.8511144510000004,2.3127452158,0.5796358268999999,0.0109865842,0.0367561637,0.0184055706,0.0,0.0120763078,0.0810697679,0.0194650213,0.0445429067,0.0521339934,0.1119044935999999,7.0,0.0245161928,4.993448e-10,0.0448625125,0.0164659014999999,0.5337847437,7.6723397725,6.8778339e-09,78.0,0.369428571
2007-01-31,1774306.3619,1.977293834,3.9096909061,-0.055157275,15.618016263,0.0794425862,0.0222360731999999,-0.116803281,0.0760750387,0.082039958,-0.01042238,-0.294095708,3.6654521075,0.3923928665,-0.392392867,4.0,-0.44833653,0.1526978522,-0.4139826689999999,1.2740842698,5.262590268399999,0.109993447,-0.016073852,-0.243943593,0.0383827657,-0.826268096,0.0,0.1086714436,0.0,1.7711775095,1.1003342074,0.0,0.0,0.0,0.4477070443,0.0283640918,1.2845472273,1.24165788,0.5297968771,0.1558479021,-0.449604743,0.5428745040999999,0.0934259611999999,0.4493665585,643.87158867,0.5219091986,0.0118298932,-1.48704872,-0.102716592,-0.240454531,-0.330449714,-0.102716592,,,0.3716826471,,-2.877911819,4.0,1.7711775095,0.0,0.0238834198,0.0518723624,0.0075998441,0.0376250615,3.2141046661000003,,,,0.0,0.3476397986999999,0.0,0.4604266825,0.724693842,-2.899400799,5.7781549047,0.6664599229,0.036626662,-0.02144224,-0.1916413019999999,1.0,0.0433572128,0.0450719926999999,0.0716442388999999,0.0407472654,0.0588299379,0.0743387336,8.0,0.0282644856999999,6.948171e-10,0.0296564083999999,0.0172405226,0.2714213178,2.9665220233,9.2511466e-09,78.0,0.325714286
2007-02-28,1565039.6834,1.8828634764,3.5451748708,0.3514666674,15.247419183,0.0792734475999999,0.0109750028,-0.11794281,0.2498791562,-0.061342967,-0.249421121,-0.167094298,4.5106612136,0.3923928665,-0.392392867,4.0,-0.44833653,0.1526978522,-0.4139826689999999,1.2740842698,5.262590268399999,0.109993447,-0.016073852,-0.243943593,0.0383827657,-0.826268096,0.0,0.1086714436,0.0,1.7711775095,1.1003342074,0.0,0.0,0.0,0.4477070443,0.0283640918,1.2845472273,1.24165788,0.5297968771,0.1558479021,-0.449604743,0.5428745040999999,0.0934259611999999,0.4493665585,643.87158867,0.5219091986,0.0118298932,-1.48704872,-0.102716592,-0.240454531,-0.330449714,-0.102716592,,,0.3716826471,,-2.877911819,4.0,1.7711775095,0.0,0.0238834198,0.0518723624,0.0075998441,0.0376250615,3.2141046661000003,,,,0.0,0.3476397986999999,0.0,0.4604266825,0.724693842,-2.9069259310000004,5.7781549047,0.6664599229,0.0392218154,-0.02144224,-0.1916413019999999,1.0,0.0433572128,0.0450719926999999,0.0716442388999999,0.0407472654,0.0588299379,0.0743387336,8.0,0.0396866038,3.508015e-10,0.045496311,0.0269481658,0.5048093771,28.143584784,2.6767515e-09,78.0,0.321857143
2007-03-30,1547968.7572,1.8680436303,3.4895870046,0.3786382994,16.364161697,0.0794396171,0.066536349,-0.012275265,0.1393605791,-0.149198066,-0.220639591,-0.203166016,5.3495632278,0.3923928665,-0.392392867,4.0,-0.44833653,0.1526978522,-0.4139826689999999,1.2740842698,5.262590268399999,0.109993447,-0.016073852,-0.243943593,0.0383827657,-0.826268096,0.0,0.1086714436,0.0,1.7711775095,1.1003342074,0.0,0.0,0.0,0.4477070443,0.0283640918,1.2845472273,1.24165788,0.5297968771,0.1558479021,-0.444135631,0.5428745040999999,0.0934259611999999,0.4493665585,643.87158867,0.5219091986,0.0118298932,-1.48704872,-0.102716592,-0.240454531,-0.330449714,-0.102716592,,,0.3716826471,,-2.877911819,4.0,1.7711775095,0.0,0.0238834198,0.0518723624,0.0075998441,0.0376250615,3.2141046661000003,,,,0.0,0.3476397986999999,0.0,0.4604266825,0.724693842,-2.943729588,5.7781549047,0.6664599229,0.0392218154,-0.02144224,-0.1916413019999999,1.0,0.0433572128,0.0450719926999999,0.0716442388999999,0.0407472654,0.0588299379,0.0743387336,8.0,0.0286832250999999,4.748141e-10,0.0371179208,0.0203012583,0.6343585413,29.426682331,4.1502872e-09,78.0,0.331285714
2007-04-30,1594590.8167,1.8636015279,3.4730106547000004,0.2322099945,15.965218695,0.0773542459,-0.008461843,0.0292942673,-0.010974545,-0.222835432,-0.1503516869999999,-0.597221705,5.9836507471,0.3923928665,-0.392392867,4.0,-0.44833653,0.1526978522,-0.4139826689999999,1.2740842698,5.262590268399999,0.109993447,-0.016073852,-0.243943593,0.0383827657,-0.826268096,0.0,0.1086714436,0.0,1.7711775095,1.1003342074,0.0,0.0,0.0,0.4477070443,0.0283640918,1.2845472273,1.24165788,0.5297968771,0.1558479021,-0.4431818179999999,0.5428745040999999,0.0934259611999999,0.4493665585,643.87158867,0.5219091986,0.0118298932,-1.48704872,-0.102716592,-0.240454531,-0.330449714,-0.102716592,,,0.3716826471,,-2.877911819,4.0,1.7711775095,0.0,0.0238834198,0.0518723624,0.0075998441,0.0376250615,3.2141046661000003,,,,0.0,0.3476397986999999,0.0,0.4604266825,0.724693842,-3.0797898010000004,5.1259021731,0.6697148897,0.032011987,-0.001705647,0.2273852442999999,0.0,0.0249282248,0.0435808644,0.0348870218,0.0535957623,0.0572566776,0.073990211,8.0,0.0327246084,5.492612e-10,0.0524344072,0.0227758045,0.3731186218,7.7191462495,4.8173307e-09,78.0,0.316714286
2007-05-31,1513324.2052,1.6720177167,2.7956432449,-0.13167995,15.699358546,0.0758261307,0.0232395471,-0.043984495,-0.1616051819999999,-0.2176113019999999,0.1687696448,-0.207750259,4.8716573884,0.3923928665,-0.392392867,4.0,-0.44833653,0.1526978522,-0.4139826689999999,1.2740842698,5.262590268399999,0.109993447,-0.016073852,-0.243943593,0.0383827657,-0.826268096,0.0,0.1086714436,0.0,1.7711775095,1.1003342074,0.0,0.0,0.0,0.4477070443,0.0283640918,1.2845472273,1.24165788,0.5297968771,0.1558479021,-0.444135631,0.5428745040999999,0.0934259611999999,0.4493665585,643.87158867,0.5219091986,0.0118298932,-1.48704872,-0.102716592,-0.240454531,-0.330449714,-0.102716592,,,0.3716826471,,-2.877911819,4.0,1.7711775095,0.0,0.0238834198,0.0518723624,0.0075998441,0.0376250615,3.2141046661000003,,,,0.0,0.3476397986999999,0.0,0.4604266825,0.724693842,-3.0797898010000004,5.1259021731,0.6697148897,0.032011987,-0.001705647,0.2281617718,0.0,0.0249282248,0.0435808644,0.0348870218,0.0535957623,0.0572566776,0.073990211,8.0,0.02520757,3.854757e-10,0.0315391086,0.0264668951,0.6155812118,23.988588378000003,4.5157279e-09,78.0,0.313142857
